"Instrument,Mean,Median,Std.,Var,Spectral Centroid,Spectral roll-off"
"Flute,-0.011891603,-0.000564575,0.135345462,0.018318394,0.122868341,0.10443809"
"Flute,-0.008205414,0.023483276,0.132347331,0.017515816,0.121602724,0.103362316"
"Flute,-0.005265117,0.044998169,0.13658641,0.018655847,0.120214221,0.102182088"
"Flute,-0.009828568,0.04397583,0.146833657,0.021560123,0.119012727,0.101160818"
"Flute,-0.011342168,0.029708862,0.158042118,0.024977311,0.117722322,0.100063974"
"Flute,-0.00759995,0.012115479,0.168418331,0.028364734,0.116448526,0.098981247"
"Flute,-0.002969623,0.008972168,0.176246888,0.031062965,0.11518867,0.09791037"
"Flute,-0.008208275,-0.014816284,0.18009791,0.032435257,0.114119796,0.097001827"
"Flute,-0.016171932,-0.051040649,0.179554103,0.032239676,0.113013868,0.096061788"
"Flute,-0.012666106,-0.050720215,0.175958806,0.030961501,0.111903825,0.095118251"
"Flute,-0.008683324,-0.047775269,0.171750175,0.029498123,0.110821429,0.094198215"
"Flute,-0.007923484,-0.036148071,0.175213042,0.03069961,0.109710883,0.09325425"
"Flute,-0.005960464,-0.02305603,0.17672404,0.031231386,0.108641074,0.092344913"
"Flute,-0.009969234,-0.018264771,0.170203971,0.028969392,0.107614197,0.091472068"
"Flute,-0.007057667,-0.016098022,0.167337317,0.028001778,0.106659109,0.090660243"
"Flute,-0.009554386,-0.018615723,0.161107591,0.025955656,0.105678468,0.089826698"
"Flute,-0.010671854,0.022705078,0.147311251,0.021700605,0.10469125,0.088987562"
"Flute,-0.005019426,0.018203735,0.148488161,0.022048734,0.103684188,0.088131559"
"Flute,-0.006037116,0.012023926,0.145711012,0.021231699,0.102744952,0.087333209"
"Flute,-0.011638999,0.030471802,0.139432888,0.01944153,0.101831142,0.086556471"
"Flute,-0.010825038,0.037811279,0.140858039,0.019840987,0.100897522,0.085762894"
"Flute,-0.006629825,0.031585693,0.151091629,0.02282868,0.100035789,0.085030421"
"Flute,-0.006985664,0.021957397,0.162648884,0.02645466,0.099133058,0.0842631"
"Flute,-0.014531612,0.011505127,0.168845246,0.028508717,0.098284639,0.083541944"
